,tweets,id,len,date,source,likes,retweets,sentiment
159,'A League of Their Own' TV Series Starring D'Arcy Carden and Abbi Jacobson Is in the Works https://t.co/kRHhbACMn9,1193716972061691905,114,2019-11-11 02:27:58,SocialFlow,20,4,1
160,ELLE Columnist E. Jean Carroll Sues Trump for Defamation https://t.co/LZeSRq3xtz,1193711862241779712,80,2019-11-11 02:07:40,SocialFlow,26,4,0
161,"""I considered taking today off so that I could focus fully on what's most important in my life: using the code 'OPR… https://t.co/h6QFWVGUxW",1193706613489700866,140,2019-11-11 01:46:49,SocialFlow,34,10,1
162,"“It was kind of incredible to see that Shia [identified more] with his father than with his own character,""… https://t.co/QyMnJGsxOM",1193701120297906176,132,2019-11-11 01:24:59,SocialFlow,54,17,1
163,"Everything We Know About Lin-Manuel Miranda's Tick, Tick... Boom! Movie Starring Andrew Garfield https://t.co/7RxfOo1DSY",1193695924301836288,120,2019-11-11 01:04:20,SocialFlow,22,7,0
164,"“It was kind of incredible to see that Shia [identified more] with his father than with his own character,""… https://t.co/9PPoge0oIA",1193690770655588352,132,2019-11-11 00:43:52,SocialFlow,13,2,1
165,"“I tend to write things down as they’re happening,” @jennyslate told ELLE. “There is someone in my life now and I’m… https://t.co/NI0cBRiPIS",1193685470552694784,140,2019-11-11 00:22:48,SocialFlow,32,6,-1
166,"""I'm not naive. I'm sure a lot of people in the beginning were thinking, 'What is this woman doing? 26 years old an… https://t.co/3KOuNAbtHx",1193680426717581313,140,2019-11-11 00:02:45,SocialFlow,20,6,1
167,"""I’d love to see if her and Steve would ever get back together, or at least if they get closure."" #StrangerThings s… https://t.co/tB26Ywo1dD",1193675242390085632,140,2019-11-10 23:42:09,SocialFlow,46,5,1
168,This Women-Only Village Was Built to Be a Feminist Utopia. Now It’s Under Threat. https://t.co/HuVucC72yt,1193669676791975937,105,2019-11-10 23:20:02,SocialFlow,22,14,0
169,Go behind-the-scenes with ELLE and Winnie Harlow. https://t.co/g6aP2BFiGO,1193669665429475335,73,2019-11-10 23:20:00,Twitter Media Studio,18,3,-1
170,Here is how to work off some of that thanksgiving turkey. https://t.co/Ho8GsP2x1Z,1193668910509416448,81,2019-11-10 23:17:00,Twitter Media Studio,14,6,0
171,Ariana Grande Reflects on How Profoundly She Has 'Healed' and Grown in the Last Year https://t.co/0actvh4c3H,1193664429742809089,108,2019-11-10 22:59:11,SocialFlow,88,15,1
172,"""I’d love to see if her and Steve would ever get back together, or at least if they get closure."" #StrangerThings s… https://t.co/ufNraavOfE",1193658851431788550,140,2019-11-10 22:37:01,SocialFlow,36,7,1
173,".@KeshaRose Sings Dolly Parton, Kelly Clarkson, and Lizzo in a Game of #SongAssociation https://t.co/ObrM9Qg1V5",1193653331836784647,111,2019-11-10 22:15:05,SocialFlow,7,2,-1
174,ALERT: Here are puppies and babies playing together to make your day a little bit brighter https://t.co/fNrNAGz7lk,1193652804503719936,114,2019-11-10 22:13:00,Twitter Media Studio,104,31,-1
175,"Watch as Jane Greer, a marriage therapist, breaks down this couple's body language. https://t.co/N955MHmJCc",1193650287946264576,107,2019-11-10 22:03:00,Twitter Media Studio,28,9,-1
176,'A League of Their Own' TV Series Starring D'Arcy Carden and Abbi Jacobson Is in the Works https://t.co/zVE3fL4Pz9,1193648161098784768,114,2019-11-10 21:54:33,SocialFlow,50,6,1
177,Pro Tip: Glossier's First Eyeliner Pen Is Good https://t.co/X765sTttMR,1193642617365573632,70,2019-11-10 21:32:31,SocialFlow,32,3,1
178,"“It was kind of incredible to see that Shia [identified more] with his father than with his own character,""… https://t.co/jwvxoXwgDJ",1193637118108733442,132,2019-11-10 21:10:40,SocialFlow,19,1,1
179,A look into the pop star's net worth. https://t.co/6F2jrnKrym,1193634433347149824,61,2019-11-10 21:00:00,Twitter Media Studio,31,3,1
180,Vanessa Hudgens Sings ‘Breaking Free’ During Drunk Karaoke https://t.co/ywVdpQsjjF,1193631569371684869,82,2019-11-10 20:48:37,SocialFlow,86,12,-1
181,"In The Problem with Everything, Meghan Daum Interrogates the Purity Police https://t.co/iFStGBENC3",1193626679584940032,98,2019-11-10 20:29:11,SocialFlow,10,0,0
182,Missouri Could Become the First State in the Nation Without an Abortion Clinic. What Happens Next? https://t.co/hP0kJzNguK,1193621475099631616,122,2019-11-10 20:08:30,SocialFlow,14,4,1
183,"From Kim to Kylie, find out how much each Kardashian-Jenner is worth. https://t.co/rygHnJI8B0",1193619336080044033,93,2019-11-10 20:00:00,Twitter Media Studio,21,3,1
184,"Each day, 130 lives will be lost to an opioid overdose. Women, who are at the center of our care networks, have bee… https://t.co/KqM4CfPMIG",1193616297696866305,140,2019-11-10 19:47:56,SocialFlow,13,1,-1
185,Jennifer Aniston Posts Hilarious Throwback Photo On Instagram https://t.co/G20RcLXQLv,1193611071208210433,85,2019-11-10 19:27:10,SocialFlow,27,5,1
186,"""I'm not naive. I'm sure a lot of people in the beginning were thinking, 'What is this woman doing? 26 years old an… https://t.co/SPxdQsU51k",1193609569756426240,140,2019-11-10 19:21:12,SocialFlow,27,4,1
187,Gwen Stefani and Blake Shelton's love is pure magic. ❤️❤️❤️ https://t.co/2GtXmdHB92,1193607254441783296,83,2019-11-10 19:12:00,Twitter Media Studio,83,16,1
188,Queen &amp; Slim Director Melina Matsoukas Wants Justice For Atatiana Jefferson https://t.co/rFpj3FsSXw,1193604346136715264,103,2019-11-10 19:00:26,SocialFlow,14,2,1
189,Here are the most expensive celebrity engagement rings 💍 https://t.co/sUIpdhJZBy,1193604235230883840,80,2019-11-10 19:00:00,Twitter Media Studio,32,5,0
190,Nicki Minaj Says She Won't Post On Instagram Anymore After They Remove Likes https://t.co/4dtHsF7bdJ,1193598983798755331,100,2019-11-10 18:39:08,SocialFlow,82,9,0
191,Chrissy Teigen Looks Amazing In Pale Green Gown At Gala https://t.co/XNiGVrQPgJ,1193595827358449666,79,2019-11-10 18:26:35,SocialFlow,76,7,1
192,"#SongAssociation will never be the same. Watch @Camila_Cabello sing @thegreatkhalid, @SZA, and @shawnmendes collab… https://t.co/Ew6pW66bXa",1193592406387478530,139,2019-11-10 18:13:00,Twitter Media Studio,1016,214,0
193,Cole Sprouse And Lili Reinhart Share Make Out Shot To Instagram https://t.co/mvYCaFVLzI,1193591458915241984,87,2019-11-10 18:09:14,SocialFlow,37,6,0
194,".@KeshaRose Sings Dolly Parton, Kelly Clarkson, and Lizzo in a Game of #SongAssociation https://t.co/FYAMMdq0Mm",1193587931086241792,111,2019-11-10 17:55:13,SocialFlow,14,4,-1
195,7 Things You Didn't Know About @PoseOnFX Star @MjRodriguez7 https://t.co/M2WqpiAxsP,1193582419363934208,83,2019-11-10 17:33:19,SocialFlow,343,73,0
196,Aimee Song's Style Is All About Not Trying Too Hard https://t.co/NolhbAsRHL,1193577017863819264,75,2019-11-10 17:11:51,SocialFlow,13,0,-1
197,This hilarious little kid is too dizzy to stand up (via @Redbook) https://t.co/xg9auWgeCa,1193576048639774720,89,2019-11-10 17:08:00,Twitter Media Studio,33,9,1
198,Kim Kardashian Shares Photos Of Niece Dream's Third Birthday https://t.co/fTP4NOt305,1193571841895489537,84,2019-11-10 16:51:17,SocialFlow,12,3,0
199,#Revenge Is Coming Back with a Latinx Star https://t.co/dKzH3F76mX,1193571744415715330,66,2019-11-10 16:50:54,SocialFlow,31,10,0
